eventnum,trialnum,item,type,sentence_onset,person_onset,who_onset,has_onset,no_onset,noun_onset,sentence_offset,tag_onset
1,1,carrots,positive,2,2.554,2.837,3.009,NaN,3.39,4.258,5.5
2,2,cookies,negative,2,2.51,2.768,2.906,3.201,3.587,4.368,5.5
4,3,cakes,positive,2,2.505,2.821,3.004,NaN,3.378,4.099,5.5
6,4,spoons,negative,2,2.497,2.84,2.987,3.322,3.632,4.52,5.5
8,5,buckets,positive,2,2.544,2.861,3.006,NaN,3.387,4.179,5.5
10,6,oranges,negative,2,2.529,2.825,2.98,3.32,3.739,4.644,5.5
12,7,lollipops,negative,2,2.493,2.781,2.947,3.283,3.621,4.678,5.5
14,8,cars,negative,2,2.512,2.918,3.022,3.367,3.723,4.525,5.5
16,9,kites,positive,2,2.544,2.827,2.928,NaN,3.338,4.06,5.5
18,10,bananas,negative,2,2.521,2.785,2.903,3.186,3.56,4.437,5.5
20,11,fish,negative,2,2.533,2.87,2.969,3.296,2.651,4.395,5.5
22,12,balloons,positive,2,2.567,2.891,3.034,NaN,3.393,4.366,5.5
24,13,apples,negative,2,2.622,2.927,3.057,3.354,3.758,4.602,5.5
26,14,balls,positive,2,2.529,2.857,2.982,NaN,3.375,4.224,5.5
28,15,icecream,positive,2,2.573,2.851,2.98,NaN,3.358,4.182,5.5
29,16,flowers,positive,2,2.514,2.747,2.905,NaN,3.242,4.237,5.5
