bank,item,a,d
eng_comprehension_full,airplane,1.9610538689991952,-0.6263679046511823
eng_comprehension_full,all,2.3305584816714315,-3.3265936142998087
eng_comprehension_full,all gone,1.7882540078044957,1.6963210646815923
eng_comprehension_full,animal,2.359316866628957,-2.27438066238412
eng_comprehension_full,another,1.7696555585619511,-2.6351632402019938
eng_comprehension_full,apple,2.160775855321486,-0.5115918302321589
eng_comprehension_full,arm,2.744130216695557,-1.7445925072355617
eng_comprehension_full,asleep,2.224306988703811,-1.7962400532738252
eng_comprehension_full,aunt,1.0110852258241212,-1.5382563425735354
eng_comprehension_full,away,1.9308643534530279,-3.0871965200616587
eng_comprehension_full,baa baa,1.0453268545375098,0.11433027854316737
eng_comprehension_full,baby,1.6770134638365648,1.0621376368850886
eng_comprehension_full,babysitter,0.9360628925080947,-2.721259224940647
eng_comprehension_full,babysitter's name,0.6427333366187129,-0.8619988491212133
eng_comprehension_full,back,1.9730013740897971,-2.4463113037332906
eng_comprehension_full,backyard,1.5886285206611006,-1.5876184301770597
eng_comprehension_full,bad,1.1485612104907197,-1.1139217702617272
eng_comprehension_full,ball,2.7300660287483858,3.271812977358753
eng_comprehension_full,balloon,2.241749681165528,0.8361402532230604
eng_comprehension_full,banana,2.16192483242726,1.1541329611190567
eng_comprehension_full,bath,2.386956258026942,2.9791852481375956
eng_comprehension_full,bathroom,2.5550867766201932,-0.37092092875159144
eng_comprehension_full,bathtub,2.24636226960071,0.8204974254970165
eng_comprehension_full,beach,1.536454240080843,-3.3292531530286325
eng_comprehension_full,beads,1.5381462132305943,-3.249066270039034
eng_comprehension_full,bear,1.7424154013541926,-0.46860351612698953
eng_comprehension_full,bed,2.5213116424004247,0.1387758540526195
eng_comprehension_full,bedroom,2.4749696950471196,-1.2186285145136242
eng_comprehension_full,bee,2.228798021145522,-2.504521348393264
eng_comprehension_full,belly button,2.0408330327118467,-0.37224591487264846
eng_comprehension_full,bib,1.9826132497239086,-0.4843397552235836
eng_comprehension_full,bicycle,2.051750394104005,-1.793916937886438
eng_comprehension_full,big,2.1334789525428652,-2.03221253245013
eng_comprehension_full,bird,2.1166888589692228,0.522447696036747
eng_comprehension_full,bite,1.5999748160464817,0.20757829803220165
eng_comprehension_full,blanket,1.7929806945468147,0.22166434761164389
eng_comprehension_full,block,1.9462946203498848,-0.46300313800781506
eng_comprehension_full,blow,2.0461315166618688,-0.6260604263743411
eng_comprehension_full,blue,1.9465828410848665,-3.9389264948742886
eng_comprehension_full,book,2.522806587679824,2.5900141210598857
eng_comprehension_full,boots,2.013611087712219,-3.164375200025868
eng_comprehension_full,bottle,0.8933388325068704,1.1400246130170073
eng_comprehension_full,bowl,2.9408159781067447,-1.5731326365242329
eng_comprehension_full,box,2.86423042921888,-2.165202150469796
