target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
right,TRUE,Labels_familiar,4,3,Baby Wheresthe_ Baby,201,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,202,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,6,8,Kitty Canyoufindthe_ Kitty,203,0,Labels_familiar-Kitty-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,5,0,Car Canyoufindthe_ Car,204,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,205,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,6,3,Kitty Canyoufindthe_ Kitty,206,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,207,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,4,0,Baby Wheresthe_ Baby,208,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,209,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,3,6,Dog Canyoufindthe_ Dog,210,0,Labels_familiar-Dog-Kitty,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,211,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,3,5,Dog Canyoufindthe_ Dog,212,0,Labels_familiar-Dog-Car,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,213,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,0,4,Shoe Wheresthe_ Shoe,214,0,Labels_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,215,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,216,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,5,8,Car Wheresthe_ Car,217,0,Labels_familiar-Car-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,218,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,219,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,8,Shoe Wheresthe_ Shoe,220,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,221,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,4,3,Baby Canyoufindthe_ Baby,222,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,223,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,8,5,Ball Canyoufindthe_ Ball,224,0,Labels_familiar-Ball-Car,NA,0,eng,NA
right,TRUE,Labels_familiar,6,8,Kitty Wheresthe_ Kitty,225,0,Labels_familiar-Kitty-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,4,3,Baby Canyoufindthe_ Baby,226,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,227,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,228,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,4,Shoe Canyoufindthe_ Shoe,229,0,Labels_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,230,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,6,0,Kitty Canyoufindthe_ Kitty,231,0,Labels_familiar-Kitty-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,8,6,Ball Canyoufindthe_ Ball,232,0,Labels_familiar-Ball-Kitty,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,233,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,5,4,Car Canyoufindthe_ Car,234,0,Labels_familiar-Car-Baby,NA,0,eng,NA
right,TRUE,Labels_familiar,3,8,Dog Wheresthe_ Dog,235,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,236,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,237,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,4,Shoe Canyoufindthe_ Shoe,238,0,Labels_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,239,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,3,5,Dog Canyoufindthe_ Dog,240,0,Labels_familiar-Dog-Car,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,241,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,6,3,Kitty Wheresthe_ Kitty,242,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,243,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,5,3,Car Canyoufindthe_ Car,244,0,Labels_familiar-Car-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,245,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,0,8,Shoe Wheresthe_ Shoe,246,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,247,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,248,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,3,8,Dog Wheresthe_ Dog,249,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,250,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,251,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,252,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,5,4,Car Wheresthe_ Car,253,0,Labels_familiar-Car-Baby,NA,0,eng,NA
right,TRUE,Labels_familiar,6,0,Kitty Canyoufindthe_ Kitty,254,0,Labels_familiar-Kitty-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,255,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,256,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,4,3,Baby Wheresthe_ Baby,257,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,258,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,3,Shoe Canyoufindthe_ Shoe,259,0,Labels_familiar-Shoe-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,260,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,0,5,Shoe Wheresthe_ Shoe,261,0,Labels_familiar-Shoe-Car,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,262,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,263,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,6,4,Kitty Canyoufindthe_ Kitty,264,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
left,TRUE,Labels_familiar,8,0,Ball Canyoufindthe_ Ball,265,0,Labels_familiar-Ball-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,266,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,4,5,Baby Wheresthe_ Baby,267,0,Labels_familiar-Baby-Car,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,268,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,3,0,Dog Wheresthe_ Dog,269,0,Labels_familiar-Dog-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,270,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,271,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,5,0,Car Canyoufindthe_ Car,272,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,273,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,274,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,0,8,Shoe Wheresthe_ Shoe,275,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,8,0,Ball Wheresthe_ Ball,276,0,Labels_familiar-Ball-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,277,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,4,5,Baby Wheresthe_ Baby,278,0,Labels_familiar-Baby-Car,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,279,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,0,3,Shoe Canyoufindthe_ Shoe,280,0,Labels_familiar-Shoe-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,281,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,6,3,Kitty Wheresthe_ Kitty,282,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,4,0,Baby Canyoufindthe_ Baby,283,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,284,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,285,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,0,3,Shoe Wheresthe_ Shoe,286,0,Labels_familiar-Shoe-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,287,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,4,6,Baby Canyoufindthe_ Baby,288,0,Labels_familiar-Baby-Kitty,NA,0,eng,NA
right,TRUE,Labels_familiar,0,3,Shoe Canyoufindthe_ Shoe,289,0,Labels_familiar-Shoe-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,290,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,3,8,Dog Canyoufindthe_ Dog,291,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,292,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,293,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,5,0,Car Wheresthe_ Car,294,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,295,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,8,0,Ball Canyoufindthe_ Ball,296,0,Labels_familiar-Ball-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,4,0,Baby Wheresthe_ Baby,297,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,298,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,299,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,5,8,Car Canyoufindthe_ Car,300,0,Labels_familiar-Car-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,3,5,Dog Wheresthe_ Dog,301,0,Labels_familiar-Dog-Car,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,302,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,6,4,Kitty Canyoufindthe_ Kitty,303,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,304,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,305,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,6,0,Kitty Canyoufindthe_ Kitty,306,0,Labels_familiar-Kitty-Shoe,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Wheresthe_ Neem,307,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,4,0,Baby Canyoufindthe_ Baby,308,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
right,TRUE,Labels_familiar,6,3,Kitty Wheresthe_ Kitty,309,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,0,8,Shoe Canyoufindthe_ Shoe,310,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,311,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,312,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,4,3,Baby Wheresthe_ Baby,313,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,3,8,Dog Wheresthe_ Dog,314,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,0,6,Shoe Canyoufindthe_ Shoe,315,0,Labels_familiar-Shoe-Kitty,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,316,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,5,0,Car Canyoufindthe_ Car,317,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
right,TRUE,Labels_familiar,8,3,Ball Wheresthe_ Ball,318,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,0,5,Shoe Canyoufindthe_ Shoe,319,0,Labels_familiar-Shoe-Car,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,320,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,321,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,3,4,Dog Canyoufindthe_ Dog,322,0,Labels_familiar-Dog-Baby,NA,0,eng,NA
right,TRUE,Labels_familiar,8,5,Ball Wheresthe_ Ball,323,0,Labels_familiar-Ball-Car,NA,0,eng,NA
right,TRUE,Labels_familiar,6,0,Kitty Wheresthe_ Kitty,324,0,Labels_familiar-Kitty-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,4,5,Baby Canyoufindthe_ Baby,325,0,Labels_familiar-Baby-Car,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,326,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,0,5,Shoe Canyoufindthe_ Shoe,327,0,Labels_familiar-Shoe-Car,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,328,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,329,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,8,0,Ball Wheresthe_ Ball,330,0,Labels_familiar-Ball-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,331,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,332,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,6,4,Kitty Canyoufindthe_ Kitty,333,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
left,TRUE,Labels_familiar,3,8,Dog Canyoufindthe_ Dog,334,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Wheresthe_ Neem,335,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,4,6,Baby Canyoufindthe_ Baby,336,0,Labels_familiar-Baby-Kitty,NA,0,eng,NA
right,TRUE,Labels_familiar,5,3,Car Canyoufindthe_ Car,337,0,Labels_familiar-Car-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,338,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,5,8,Car Wheresthe_ Car,339,0,Labels_familiar-Car-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,3,0,Dog Canyoufindthe_ Dog,340,0,Labels_familiar-Dog-Shoe,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,341,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,6,3,Kitty Canyoufindthe_ Kitty,342,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,4,3,Baby Wheresthe_ Baby,343,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,8,5,Ball Canyoufindthe_ Ball,344,0,Labels_familiar-Ball-Car,NA,0,eng,NA
left,FALSE,Labels_novel,1,2,Lif Wheresthe_ Lif,345,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,0,5,Shoe Canyoufindthe_ Shoe,346,0,Labels_familiar-Shoe-Car,NA,0,eng,NA
right,FALSE,Labels_novel,1,2,Lif Canyoufindthe_ Lif,347,0,Labels_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,5,0,Car Wheresthe_ Car,348,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,3,6,Dog Wheresthe_ Dog,349,0,Labels_familiar-Dog-Kitty,NA,0,eng,NA
left,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,350,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,5,4,Car Canyoufindthe_ Car,351,0,Labels_familiar-Car-Baby,NA,0,eng,NA
right,TRUE,Labels_familiar,4,3,Baby Canyoufindthe_ Baby,352,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,353,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,6,8,Kitty Wheresthe_ Kitty,354,0,Labels_familiar-Kitty-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,3,5,Dog Wheresthe_ Dog,355,0,Labels_familiar-Dog-Car,NA,0,eng,NA
right,TRUE,Labels_familiar,5,3,Car Canyoufindthe_ Car,356,0,Labels_familiar-Car-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,0,4,Shoe Canyoufindthe_ Shoe,357,0,Labels_familiar-Shoe-Baby,NA,0,eng,NA
left,TRUE,Labels_familiar,8,6,Ball Wheresthe_ Ball,358,0,Labels_familiar-Ball-Kitty,NA,0,eng,NA
right,TRUE,Labels_familiar,3,4,Dog Wheresthe_ Dog,359,0,Labels_familiar-Dog-Baby,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,360,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,0,6,Shoe Wheresthe_ Shoe,361,0,Labels_familiar-Shoe-Kitty,NA,0,eng,NA
right,TRUE,Labels_familiar,5,8,Car Canyoufindthe_ Car,362,0,Labels_familiar-Car-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,8,5,Ball Wheresthe_ Ball,363,0,Labels_familiar-Ball-Car,NA,0,eng,NA
left,TRUE,Labels_familiar,6,8,Kitty Wheresthe_ Kitty,364,0,Labels_familiar-Kitty-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,0,6,Shoe Canyoufindthe_ Shoe,365,0,Labels_familiar-Shoe-Kitty,NA,0,eng,NA
right,TRUE,Labels_familiar,4,6,Baby Wheresthe_ Baby,366,0,Labels_familiar-Baby-Kitty,NA,0,eng,NA
left,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,367,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,368,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,8,3,Ball Wheresthe_ Ball,369,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,370,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,0,5,Shoe Wheresthe_ Shoe,371,0,Labels_familiar-Shoe-Car,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,372,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,373,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Labels_familiar,3,0,Dog Wheresthe_ Dog,374,0,Labels_familiar-Dog-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,5,0,Car Canyoufindthe_ Car,375,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,6,3,Kitty Canyoufindthe_ Kitty,376,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
right,TRUE,Labels_familiar,4,0,Baby Wheresthe_ Baby,377,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
right,TRUE,Labels_familiar,4,0,Baby Canyoufindthe_ Baby,378,0,Labels_familiar-Baby-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,6,4,Kitty Wheresthe_ Kitty,379,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
right,FALSE,Labels_novel,2,1,Neem Canyoufindthe_ Neem,380,0,Labels_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,3,8,Dog Canyoufindthe_ Dog,381,0,Labels_familiar-Dog-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,5,0,Car Canyoufindthe_ Car,382,0,Labels_familiar-Car-Shoe,NA,0,eng,NA
left,TRUE,Labels_familiar,6,4,Kitty Canyoufindthe_ Kitty,383,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
right,FALSE,Labels_novel,9,7,Lif Canyoufindthe_ Lif,384,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,FALSE,Labels_novel,9,7,Lif Wheresthe_ Lif,385,0,Labels_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Labels_familiar,8,3,Ball Canyoufindthe_ Ball,386,0,Labels_familiar-Ball-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,387,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,8,5,Ball Canyoufindthe_ Ball,388,0,Labels_familiar-Ball-Car,NA,0,eng,NA
left,TRUE,Labels_familiar,0,8,Shoe Wheresthe_ Shoe,389,0,Labels_familiar-Shoe-Ball,NA,0,eng,NA
left,TRUE,Labels_familiar,6,3,Kitty Wheresthe_ Kitty,390,0,Labels_familiar-Kitty-Dog,NA,0,eng,NA
right,FALSE,Labels_novel,7,9,Neem Canyoufindthe_ Neem,391,0,Labels_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Labels_familiar,4,3,Baby Canyoufindthe_ Baby,392,0,Labels_familiar-Baby-Dog,NA,0,eng,NA
left,TRUE,Labels_familiar,5,8,Car Canyoufindthe_ Car,393,0,Labels_familiar-Car-Ball,NA,0,eng,NA
right,TRUE,Labels_familiar,4,5,Baby Wheresthe_ Baby,394,0,Labels_familiar-Baby-Car,NA,0,eng,NA
right,TRUE,Labels_familiar,3,6,Dog Wheresthe_ Dog,395,0,Labels_familiar-Dog-Kitty,NA,0,eng,NA
left,TRUE,Labels_familiar,6,4,Kitty Canyoufindthe_ Kitty,396,0,Labels_familiar-Kitty-Baby,NA,0,eng,NA
left,TRUE,Speakers_familiar,8,6,Ball Wheresthe_ Ball,397,0,Speakers_familiar-Ball-Kitty,NA,0,eng,NA
right,FALSE,Speakers_novel,1,2,Lif Canyoufindthe_ Lif,398,0,Speakers_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Speakers_familiar,5,0,Car Canyoufindthe_ Car,399,0,Speakers_familiar-Car-Shoe,NA,0,eng,NA
left,FALSE,Speakers_novel,2,1,Neem Wheresthe_ Neem,400,0,Speakers_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Speakers_familiar,3,0,Dog Canyoufindthe_ Dog,401,0,Speakers_familiar-Dog-Shoe,NA,0,eng,NA
right,FALSE,Speakers_novel,2,1,Neem Wheresthe_ Neem,402,0,Speakers_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Speakers_familiar,6,0,Kitty Wheresthe_ Kitty,403,0,Speakers_familiar-Kitty-Shoe,NA,0,eng,NA
left,FALSE,Speakers_novel,1,2,Lif Canyoufindthe_ Lif,404,0,Speakers_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Speakers_familiar,4,0,Baby Canyoufindthe_ Baby,405,0,Speakers_familiar-Baby-Shoe,NA,0,eng,NA
right,FALSE,Speakers_novel,7,9,Neem Wheresthe_ Neem,406,0,Speakers_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Speakers_novel,9,7,Lif Wheresthe_ Lif,407,0,Speakers_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Speakers_familiar,3,6,Dog Canyoufindthe_ Dog,408,0,Speakers_familiar-Dog-Kitty,NA,0,eng,NA
