trial_id,trial_order,trial,trial_type_id,excluded,exclusion_reason,trial_aux_data
426,5,5,284,FALSE,included,NA
427,6,6,336,FALSE,included,NA
428,7,7,337,FALSE,included,NA
429,8,8,338,TRUE,< 50% looking on trial,NA
430,1,1,339,FALSE,included,NA
431,2,2,262,FALSE,included,NA
432,3,3,340,TRUE,no looking 2nd target window (4500-5967,NA
433,4,4,305,FALSE,included,NA
434,5,5,341,FALSE,included,NA
435,6,6,342,FALSE,included,NA
436,7,7,307,FALSE,included,NA
437,8,8,343,FALSE,included,NA
438,1,1,344,FALSE,included,NA
439,2,2,298,FALSE,included,NA
440,3,3,345,FALSE,included,NA
441,4,4,346,FALSE,included,NA
442,5,5,347,FALSE,included,NA
443,6,6,348,FALSE,included,NA
444,7,7,349,FALSE,included,NA
445,8,8,350,FALSE,included,NA
446,1,1,351,FALSE,included,NA
447,2,2,255,FALSE,included,NA
448,3,3,321,TRUE,< 50% looking on trial,NA
449,4,4,352,FALSE,included,NA
450,5,5,353,FALSE,included,NA
451,6,6,354,FALSE,included,NA
452,7,7,237,TRUE,< 50% looking on trial,NA
453,8,8,355,FALSE,included,NA
454,1,1,356,FALSE,included,NA
455,2,2,255,TRUE,< 50% looking on trial,NA
456,3,3,321,TRUE,< 50% looking on trial,NA
457,4,4,357,FALSE,included,NA
458,5,5,358,FALSE,included,NA
459,6,6,251,TRUE,< 50% looking on trial,NA
460,7,7,359,TRUE,< 50% looking on trial,NA
461,8,8,360,TRUE,< 50% looking on trial,NA
462,1,1,196,FALSE,included,NA
463,2,2,189,FALSE,included,NA
464,3,3,361,FALSE,included,NA
465,4,4,191,FALSE,included,NA
466,5,5,362,FALSE,included,NA
467,6,6,193,TRUE,no looking 2nd target window (4500-5967,NA
468,7,7,295,FALSE,included,NA
469,8,8,363,FALSE,included,NA
470,1,1,364,FALSE,included,NA
471,2,2,320,FALSE,included,NA
472,3,3,321,FALSE,included,NA
473,4,4,365,FALSE,included,NA
474,5,5,258,FALSE,included,NA
475,6,6,366,FALSE,included,NA
476,7,7,367,FALSE,included,NA
477,8,8,368,FALSE,included,NA
478,1,1,369,FALSE,included,NA
479,2,2,181,FALSE,included,NA
480,3,3,370,FALSE,included,NA
481,4,4,264,FALSE,included,NA
482,5,5,371,FALSE,included,NA
483,6,6,372,FALSE,included,NA
484,7,7,373,TRUE,< 50% looking on trial,NA
485,8,8,313,FALSE,included,NA
486,1,1,374,FALSE,included,NA
487,2,2,277,FALSE,included,NA
488,3,3,375,FALSE,included,NA
489,4,4,241,FALSE,included,NA
490,5,5,376,FALSE,included,NA
491,6,6,243,TRUE,< 50% looking on trial,NA
492,7,7,377,FALSE,included,NA
493,8,8,245,FALSE,included,NA
494,1,1,378,FALSE,included,NA
495,2,2,197,FALSE,included,NA
496,3,3,379,FALSE,included,NA
497,4,4,380,FALSE,included,NA
498,5,5,381,FALSE,included,NA
499,6,6,290,FALSE,included,NA
500,7,7,382,FALSE,included,NA
501,8,8,304,FALSE,included,NA
502,1,1,383,FALSE,included,NA
503,2,2,181,FALSE,included,NA
504,3,3,214,FALSE,included,NA
505,4,4,384,FALSE,included,NA
506,5,5,385,FALSE,included,NA
507,6,6,366,FALSE,included,NA
508,7,7,386,FALSE,included,NA
509,8,8,387,TRUE,< 50% looking on trial,NA
510,1,1,388,FALSE,included,NA
511,2,2,181,FALSE,included,NA
512,3,3,389,FALSE,included,NA
513,4,4,384,FALSE,included,NA
514,5,5,385,FALSE,included,NA
515,6,6,390,FALSE,included,NA
516,7,7,391,FALSE,included,NA
517,8,8,392,FALSE,included,NA
518,1,1,393,FALSE,included,NA
519,2,2,239,FALSE,included,NA
520,3,3,394,FALSE,included,NA
521,4,4,311,FALSE,included,NA
522,5,5,395,FALSE,included,NA
523,6,6,243,FALSE,included,NA
524,7,7,307,FALSE,included,NA
525,8,8,396,FALSE,included,NA
526,1,1,397,FALSE,included,NA
527,2,2,398,TRUE,no looking 2nd target window (4500-5967,NA
528,3,3,399,TRUE,no looking 2nd target window (4500-5967,NA
529,4,4,400,TRUE,< 50% looking on trial,NA
530,5,5,401,FALSE,included,NA
531,6,6,402,TRUE,< 50% looking on trial,NA
532,7,7,403,FALSE,included,NA
533,8,8,404,TRUE,< 50% looking on trial,NA
534,1,1,405,FALSE,included,NA
535,2,2,406,FALSE,included,NA
536,3,3,407,FALSE,included,NA
537,4,4,408,FALSE,included,NA
538,5,5,409,FALSE,included,NA
539,6,6,410,FALSE,included,NA
540,7,7,411,FALSE,included,NA
541,8,8,412,FALSE,included,NA
542,1,1,413,FALSE,included,NA
543,2,2,414,FALSE,included,NA
544,3,3,415,FALSE,included,NA
545,4,4,416,FALSE,included,NA
546,5,5,417,FALSE,included,NA
547,6,6,418,FALSE,included,NA
548,7,7,419,FALSE,included,NA
549,8,8,420,TRUE,< 50% looking on trial,NA
550,1,1,421,FALSE,included,NA
551,2,2,422,FALSE,included,NA
552,3,3,423,TRUE,< 50% looking on trial,NA
553,4,4,424,FALSE,included,NA
554,5,5,425,FALSE,included,NA
555,6,6,426,FALSE,included,NA
556,7,7,427,TRUE,< 50% looking on trial,NA
557,8,8,428,TRUE,< 50% looking on trial,NA
558,1,1,429,TRUE,< 50% looking on trial,NA
559,2,2,430,FALSE,included,NA
560,3,3,431,FALSE,included,NA
561,4,4,432,FALSE,included,NA
562,5,5,433,FALSE,included,NA
563,6,6,434,FALSE,included,NA
564,7,7,435,FALSE,included,NA
565,8,8,436,TRUE,< 50% looking on trial,NA
566,1,1,437,FALSE,included,NA
567,2,2,398,FALSE,included,NA
568,3,3,438,FALSE,included,NA
569,4,4,439,FALSE,included,NA
570,5,5,440,FALSE,included,NA
571,6,6,441,FALSE,included,NA
572,7,7,442,FALSE,included,NA
573,8,8,443,FALSE,included,NA
574,1,1,444,FALSE,included,NA
575,2,2,430,FALSE,included,NA
576,3,3,445,FALSE,included,NA
577,4,4,446,FALSE,included,NA
578,5,5,447,FALSE,included,NA
579,6,6,448,TRUE,< 50% looking on trial,NA
580,7,7,449,FALSE,included,NA
581,8,8,450,FALSE,included,NA
582,1,1,451,FALSE,included,NA
583,2,2,452,FALSE,included,NA
584,3,3,453,FALSE,included,NA
585,4,4,454,FALSE,included,NA
586,5,5,455,FALSE,included,NA
587,6,6,456,FALSE,included,NA
588,7,7,457,FALSE,included,NA
589,8,8,450,TRUE,< 50% looking on trial,NA
590,1,1,458,FALSE,included,NA
591,2,2,452,FALSE,included,NA
592,3,3,459,FALSE,included,NA
593,4,4,460,FALSE,included,NA
594,5,5,425,FALSE,included,NA
595,6,6,461,FALSE,included,NA
596,7,7,462,FALSE,included,NA
597,8,8,463,FALSE,included,NA
598,1,1,464,FALSE,included,NA
599,2,2,465,TRUE,< 50% looking on trial,NA
600,3,3,466,FALSE,included,NA
601,4,4,467,TRUE,< 50% looking on trial,NA
602,5,5,468,FALSE,included,NA
603,6,6,469,TRUE,< 50% looking on trial,NA
604,7,7,470,TRUE,< 50% looking on trial,NA
605,8,8,471,FALSE,included,NA
606,1,1,472,TRUE,< 50% looking on trial,NA
607,2,2,473,TRUE,< 50% looking on trial,NA
608,3,3,474,FALSE,included,NA
609,4,4,475,FALSE,included,NA
610,5,5,476,TRUE,< 50% looking on trial,NA
611,6,6,477,FALSE,included,NA
612,7,7,478,TRUE,< 50% looking on trial,NA
613,8,8,479,TRUE,< 50% looking on trial,NA
614,1,1,480,FALSE,included,NA
615,2,2,481,FALSE,included,NA
616,3,3,482,FALSE,included,NA
617,4,4,483,TRUE,< 50% looking on trial,NA
618,5,5,484,FALSE,included,NA
619,6,6,485,FALSE,included,NA
620,7,7,486,FALSE,included,NA
621,8,8,487,TRUE,< 50% looking on trial,NA
622,1,1,488,FALSE,included,NA
623,2,2,481,FALSE,included,NA
624,3,3,489,FALSE,included,NA
625,4,4,460,TRUE,< 50% looking on trial,NA
626,5,5,490,FALSE,included,NA
627,6,6,491,TRUE,< 50% looking on trial,NA
628,7,7,492,FALSE,included,NA
629,8,8,493,FALSE,included,NA
630,1,1,494,FALSE,included,NA
631,2,2,406,FALSE,included,NA
632,3,3,407,TRUE,< 50% looking on trial,NA
633,4,4,495,FALSE,included,NA
634,5,5,476,FALSE,included,NA
635,6,6,410,FALSE,included,NA
636,7,7,496,FALSE,included,NA
637,8,8,497,TRUE,< 50% looking on trial,NA
638,1,1,498,FALSE,included,NA
639,2,2,499,FALSE,included,NA
640,3,3,500,FALSE,included,NA
641,4,4,501,FALSE,included,NA
642,5,5,502,FALSE,included,NA
643,6,6,503,TRUE,no looking 2nd target window (4500-5967,NA
644,7,7,504,FALSE,included,NA
645,8,8,505,FALSE,included,NA
646,1,1,506,FALSE,included,NA
647,2,2,473,FALSE,included,NA
648,3,3,507,FALSE,included,NA
649,4,4,508,FALSE,included,NA
650,5,5,409,FALSE,included,NA
651,6,6,509,FALSE,included,NA
652,7,7,411,FALSE,included,NA
653,8,8,510,FALSE,included,NA
654,1,1,511,FALSE,included,NA
655,2,2,452,FALSE,included,NA
656,3,3,431,FALSE,included,NA
657,4,4,439,FALSE,included,NA
658,5,5,512,FALSE,included,NA
659,6,6,513,FALSE,included,NA
660,7,7,514,FALSE,included,NA
661,8,8,515,FALSE,included,NA
662,1,1,516,FALSE,included,NA
663,2,2,414,FALSE,included,NA
664,3,3,517,FALSE,included,NA
665,4,4,518,FALSE,included,NA
666,5,5,417,FALSE,included,NA
667,6,6,519,FALSE,included,NA
668,7,7,520,FALSE,included,NA
669,8,8,521,FALSE,included,NA
670,1,1,405,FALSE,included,NA
671,2,2,522,FALSE,included,NA
672,3,3,507,TRUE,< 50% looking on trial,NA
673,4,4,523,FALSE,included,NA
674,5,5,524,FALSE,included,NA
675,6,6,525,TRUE,< 50% looking on trial,NA
676,7,7,526,FALSE,included,NA
677,8,8,527,TRUE,< 50% looking on trial,NA
678,1,1,528,FALSE,included,NA
679,2,2,529,FALSE,included,NA
680,3,3,530,FALSE,included,NA
681,4,4,531,TRUE,no looking 2nd target window (4500-5967,NA
682,5,5,532,FALSE,included,NA
683,6,6,503,FALSE,included,NA
684,7,7,504,FALSE,included,NA
685,8,8,533,FALSE,included,NA
686,1,1,534,FALSE,included,NA
687,2,2,422,FALSE,included,NA
688,3,3,423,TRUE,< 50% looking on trial,NA
689,4,4,535,FALSE,included,NA
690,5,5,512,TRUE,< 50% looking on trial,NA
691,6,6,536,FALSE,included,NA
692,7,7,537,TRUE,< 50% looking on trial,NA
693,8,8,538,FALSE,included,NA
694,1,1,539,FALSE,included,NA
695,2,2,398,FALSE,included,NA
696,3,3,540,FALSE,included,NA
697,4,4,541,FALSE,included,NA
698,5,5,542,FALSE,included,NA
699,6,6,543,FALSE,included,NA
700,7,7,442,FALSE,included,NA
701,8,8,544,FALSE,included,NA
702,1,1,545,FALSE,included,NA
703,2,2,422,FALSE,included,NA
704,3,3,546,FALSE,included,NA
705,4,4,547,FALSE,included,NA
706,5,5,433,TRUE,no looking 2nd target window (4500-5967,NA
707,6,6,548,FALSE,included,NA
