name	trialOnset	trialNum	soundStimulus	leftImage	centerImage	rightImage	targetSide	condition	used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
cp2b	Pic	1	wherePeasDoLeft	peas	o	strawberry	left	familiar	yes	0	0	0	6000		
cp2b	Pic	2	testfindGrapesLookLeft	grapes	o	banana	left	test	yes	0	0	0	6000		
cp2b	Pic	3	testwhereElephantDoRight	lion	o	elephant	right	test	yes	0	0	0	6000		
cp2b	Pic	4	testfindCowLookLeft	cow	o	pig	left	test	yes	0	0	0	6000		
cp2b	Pic	5	whereMonkeyDoRight	duck	o	monkey	right	familiar	yes	0	0	0	6000		
cp2b	Pic	6	findZebraLookLeft	zebra	o	frog	left	familiar	yes	0	0	0	6000		
cp2b	Pic	7	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2b	Pic	8	testwhereBananaDoLeft	banana	o	grapes	left	test	yes	0	0	0	6000		
cp2b	Pic	9	whereStrawberryCheckRight	peas	o	strawberry	right	familiar	yes	0	0	0	6000		
cp2b	Pic	10	testfindLionCanLeft	lion	o	elephant	left	test	yes	0	0	0	6000		
cp2b	Pic	11	testfindPigLookLeft	pig	o	cow	left	test	yes	0	0	0	6000		
cp2b	Pic	12	findDuckCanLeft	duck	o	monkey	left	familiar	yes	0	0	0	6000		
cp2b	Pic	13	whereFrogCheckRight	zebra	o	frog	right	familiar	yes	0	0	0	6000		
cp2b	Pic	14	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2b	Pic	15	testwhereElephantCheckLeft	elephant	o	lion	left	test	yes	0	0	0	6000		
cp2b	Pic	16	testwhereBananaCheckRight	grapes	o	banana	right	test	yes	0	0	0	6000		
cp2b	Pic	17	testfindGrapesCanRight	banana	o	grapes	right	test	yes	0	0	0	6000		
cp2b	Pic	18	whereMonkeyCheckLeft	monkey	o	duck	left	familiar	yes	0	0	0	6000		
cp2b	Pic	19	testfindCowCanRight	pig	o	cow	right	test	yes	0	0	0	6000		
cp2b	Pic	20	findStrawberryLookRight	peas	o	strawberry	right	familiar	yes	0	0	0	6000		
cp2b	Pic	21	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2b	Pic	22	testwhereLionDoLeft	lion	o	elephant	left	test	yes	0	0	0	6000		
cp2b	Pic	23	whereDuckDoLeft	duck	o	monkey	left	familiar	yes	0	0	0	6000		
cp2b	Pic	24	whereZebraDoRight	frog	o	zebra	right	familiar	yes	0	0	0	6000		
cp2b	Pic	25	testfindPigCanRight	cow	o	pig	right	test	yes	0	0	0	6000		
cp2b	Pic	26	wherePeasCheckRight	strawberry	o	peas	right	familiar	yes	0	0	0	6000		
cp2b	Pic	27	findFrogCanLeft	frog	o	zebra	left	familiar	yes	0	0	0	6000		
cp2b	Pic	28	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2b	Pic	29	testwhereGrapesCheckLeft	grapes	o	banana	left	test	yes	0	0	0	6000		
cp2b	Pic	30	findMonkeyCanRight	duck	o	monkey	right	familiar	yes	0	0	0	6000		
cp2b	Pic	31	testwherePigCheckLeft	pig	o	cow	left	test	yes	0	0	0	6000		
cp2b	Pic	32	findPeasCanLeft	peas	o	strawberry	left	familiar	yes	0	0	0	6000		
cp2b	Pic	33	testfindBananaCanLeft	banana	o	grapes	left	test	yes	0	0	0	6000		
cp2b	Pic	34	findZebraCanRight	frog	o	zebra	right	familiar	yes	0	0	0	6000		
cp2b	Pic	35	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2b	Pic	36	testwhereLionCheckRight	elephant	o	lion	right	test	yes	0	0	0	6000		
cp2b	Pic	37	whereFrogDoLeft	frog	o	zebra	left	familiar	yes	0	0	0	6000		
cp2b	Pic	38	whereDuckCheckRight	monkey	o	duck	right	familiar	yes	0	0	0	6000		
cp2b	Pic	39	testfindElephantCanRight	lion	o	elephant	right	test	yes	0	0	0	6000		
cp2b	Pic	40	testwhereCowCheckLeft	cow	o	pig	left	test	yes	0	0	0	6000		
cp2b	Pic	41	findStrawberryCanLeft	strawberry	o	peas	left	familiar	yes	0	0	0	6000		
