name	trialOnset	trialNum	soundStimulus	leftImage	centerImage	rightImage	targetSide	condition	used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
cp2a	Pic	1	findGrapesLookLeft	grapes	o	banana	left	familiar	yes	0	0	0	6000		
cp2a	Pic	2	testwherePeasDoLeft	peas	o	strawberry	left	test	yes	0	0	0	6000		
cp2a	Pic	3	whereElephantDoRight	lion	o	elephant	right	familiar	yes	0	0	0	6000		
cp2a	Pic	4	findCowLookLeft	cow	o	pig	left	familiar	yes	0	0	0	6000		
cp2a	Pic	5	testwhereMonkeyDoRight	duck	o	monkey	right	test	yes	0	0	0	6000		
cp2a	Pic	6	testfindZebraLookLeft	zebra	o	frog	left	test	yes	0	0	0	6000		
cp2a	Pic	7	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2a	Pic	8	whereBananaDoLeft	banana	o	grapes	left	familiar	yes	0	0	0	6000		
cp2a	Pic	9	testwhereStrawberryCheckRight	peas	o	strawberry	right	test	yes	0	0	0	6000		
cp2a	Pic	10	findLionCanLeft	lion	o	elephant	left	familiar	yes	0	0	0	6000		
cp2a	Pic	11	findPigLookLeft	pig	o	cow	left	familiar	yes	0	0	0	6000		
cp2a	Pic	12	testfindDuckCanLeft	duck	o	monkey	left	test	yes	0	0	0	6000		
cp2a	Pic	13	testwhereFrogCheckRight	zebra	o	frog	right	test	yes	0	0	0	6000		
cp2a	Pic	14	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2a	Pic	15	whereBananaCheckRight	grapes	o	banana	right	familiar	yes	0	0	0	6000		
cp2a	Pic	16	whereElephantCheckLeft	elephant	o	lion	left	familiar	yes	0	0	0	6000		
cp2a	Pic	17	findGrapesCanRight	banana	o	grapes	right	familiar	yes	0	0	0	6000		
cp2a	Pic	18	testwhereMonkeyCheckLeft	monkey	o	duck	left	test	yes	0	0	0	6000		
cp2a	Pic	19	findCowCanRight	pig	o	cow	right	familiar	yes	0	0	0	6000		
cp2a	Pic	20	testfindStrawberryLookRight	peas	o	strawberry	right	test	yes	0	0	0	6000		
cp2a	Pic	21	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2a	Pic	22	whereLionDoLeft	lion	o	elephant	left	familiar	yes	0	0	0	6000		
cp2a	Pic	23	testwhereDuckDoLeft	duck	o	monkey	left	test	yes	0	0	0	6000		
cp2a	Pic	24	testwhereZebraDoRight	frog	o	zebra	right	test	yes	0	0	0	6000		
cp2a	Pic	25	findPigCanRight	cow	o	pig	right	familiar	yes	0	0	0	6000		
cp2a	Pic	26	testwherePeasCheckRight	strawberry	o	peas	right	test	yes	0	0	0	6000		
cp2a	Pic	27	testfindFrogCanLeft	frog	o	zebra	left	test	yes	0	0	0	6000		
cp2a	Pic	28	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2a	Pic	29	whereGrapesCheckLeft	grapes	o	banana	left	familiar	yes	0	0	0	6000		
cp2a	Pic	30	testfindMonkeyCanRight	duck	o	monkey	right	test	yes	0	0	0	6000		
cp2a	Pic	31	wherePigCheckLeft	pig	o	cow	left	familiar	yes	0	0	0	6000		
cp2a	Pic	32	testfindPeasCanLeft	peas	o	strawberry	left	test	yes	0	0	0	6000		
cp2a	Pic	33	findBananaCanLeft	banana	o	grapes	left	familiar	yes	0	0	0	6000		
cp2a	Pic	34	testfindZebraCanRight	frog	o	zebra	right	test	yes	0	0	0	6000		
cp2a	Pic	35	attention getter	none	o	none	none	attention getter	no	0	0	0	6000		
cp2a	Pic	36	whereLionCheckRight	elephant	o	lion	right	familiar	yes	0	0	0	6000		
cp2a	Pic	37	testwhereFrogDoLeft	frog	o	zebra	left	test	yes	0	0	0	6000		
cp2a	Pic	38	testwhereDuckCheckRight	monkey	o	duck	right	test	yes	0	0	0	6000		
cp2a	Pic	39	testfindStrawberryCanLeft	strawberry	o	peas	left	test	yes	0	0	0	6000		
cp2a	Pic	40	findElephantCanRight	lion	o	elephant	right	familiar	yes	0	0	0	6000		
cp2a	Pic	41	whereCowCheckLeft	cow	o	pig	left	familiar	yes	0	0	0	6000		
