## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_10_18_36-eye_data.idf
## Date:	18.10.2013 20:19:13
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	27633                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_10_18_36                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
10152545104	SMP	1	1309.42	173.90	1309.42	173.90	-1	
10152553464	SMP	1	1184.68	170.54	1184.68	170.54	-1	
10152561844	SMP	1	1300.54	97.97	1300.54	97.97	-1	
10152570079	SMP	1	1295.80	3.56	1295.80	3.56	-1	
10152578480	SMP	1	1306.60	-2.55	1306.60	-2.55	-1	
10152586809	SMP	1	1270.15	4.14	1270.15	4.14	-1	
10152595169	SMP	1	1268.97	-12.18	1268.97	-12.18	-1	
10152603432	SMP	1	1265.52	-16.76	1265.52	-16.76	-1	
10152611791	SMP	1	1309.61	-9.57	1309.61	-9.57	-1	
10152620171	SMP	1	1297.65	-5.84	1297.65	-5.84	-1	
10152628544	SMP	1	1271.99	8.82	1271.99	8.82	-1	
10152636779	SMP	1	0.00	-2.30	0.00	-2.30	-1	
10152645172	SMP	1	0.00	-1.98	0.00	-1.98	-1	
10152653549	SMP	1	0.00	-1.79	0.00	-1.79	-1	
10152661920	SMP	1	0.00	-3.03	0.00	-3.03	-1	
10152670262	SMP	1	0.00	-1.40	0.00	-1.40	-1	
10152678584	SMP	1	0.00	-2.44	0.00	-2.44	-1	
10152686916	SMP	1	0.00	-0.80	0.00	-0.80	-1	
10152695207	SMP	1	0.00	0.68	0.00	0.68	-1	
10152703573	SMP	1	0.00	1.43	0.00	1.43	-1	
10152711979	SMP	1	0.00	1.43	0.00	1.43	-1	
10152720538	SMP	1	0.00	0.00	0.00	0.00	-1	
10152728581	SMP	1	0.00	0.00	0.00	0.00	-1	
10152736951	SMP	1	0.00	0.00	0.00	0.00	-1	
10152745331	SMP	1	0.00	0.00	0.00	0.00	-1	
10152753706	SMP	1	0.00	0.00	0.00	0.00	-1	
10152761955	SMP	1	0.00	0.00	0.00	0.00	-1	
10152770329	SMP	1	0.00	0.00	0.00	0.00	-1	
10152778653	SMP	1	0.00	0.00	0.00	0.00	-1	
10152787037	SMP	1	0.00	0.00	0.00	0.00	-1	
10152795297	SMP	1	0.00	0.00	0.00	0.00	-1	
10152803719	SMP	1	0.00	0.00	0.00	0.00	-1	
10152812044	SMP	1	0.00	0.00	0.00	0.00	-1	
10152820421	SMP	1	1481.29	-5.29	1481.29	-5.29	-1	
10152828650	SMP	1	1501.89	-3.16	1501.89	-3.16	-1	
10152837034	SMP	1	1472.37	-42.76	1472.37	-42.76	-1	
10152845431	SMP	1	1488.99	-55.91	1488.99	-55.91	-1	
10152853674	SMP	1	1493.83	-45.86	1493.83	-45.86	-1	
10152862029	SMP	1	1500.98	-49.68	1500.98	-49.68	-1	
10152870410	SMP	1	1499.59	3.70	1499.59	3.70	-1	
10152878772	SMP	1	1495.44	8.15	1495.44	8.15	-1	
10152887032	SMP	1	1492.55	-3.60	1492.55	-3.60	-1	
10152895402	SMP	1	1493.37	-52.35	1493.37	-52.35	-1	
10152903837	SMP	1	1490.73	8.23	1490.73	8.23	-1	
10152912175	SMP	1	1497.66	-26.09	1497.66	-26.09	-1	
10152920410	SMP	1	1496.63	-20.03	1496.63	-20.03	-1	
10152928775	SMP	1	1495.93	-72.14	1495.93	-72.14	-1	
10152937150	SMP	1	1497.25	-85.62	1497.25	-85.62	-1	
10152945533	SMP	1	1493.69	-10.21	1493.69	-10.21	-1	
10152953778	SMP	1	1494.71	-44.40	1494.71	-44.40	-1	
10152962147	SMP	1	1496.00	-83.33	1496.00	-83.33	-1	
