## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\NORM\data\2013_11_19_173-eye_data.idf
## Date:	19.11.2013 22:47:30
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	27986                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_11_19_173                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
6533040228	SMP	1	1239.58	348.73	1239.58	348.73	-1	
6533048581	SMP	1	1242.17	354.39	1242.17	354.39	-1	
6533056985	SMP	1	1243.87	355.78	1243.87	355.78	-1	
6533065359	SMP	1	1248.32	353.66	1248.32	353.66	-1	
6533073640	SMP	1	1248.41	347.20	1248.41	347.20	-1	
6533081939	SMP	1	1246.60	337.86	1246.60	337.86	-1	
6533090337	SMP	1	1246.59	353.79	1246.59	353.79	-1	
6533098554	SMP	1	1246.11	350.85	1246.11	350.85	-1	
6533106928	SMP	1	1246.17	352.12	1246.17	352.12	-1	
6533115309	SMP	1	1103.41	417.96	1103.41	417.96	-1	
6533123692	SMP	1	1230.79	358.90	1230.79	358.90	-1	
6533131922	SMP	1	1240.72	365.47	1240.72	365.47	-1	
6533140337	SMP	1	1241.98	363.57	1241.98	363.57	-1	
6533148668	SMP	1	1248.79	361.54	1248.79	361.54	-1	
6533157059	SMP	1	1246.88	355.54	1246.88	355.54	-1	
6533165314	SMP	1	1253.75	358.58	1253.75	358.58	-1	
6533173682	SMP	1	1258.45	354.26	1258.45	354.26	-1	
6533182102	SMP	1	1250.43	345.64	1250.43	345.64	-1	
6533190479	SMP	1	1253.87	348.93	1253.87	348.93	-1	
6533198730	SMP	1	1257.23	350.94	1257.23	350.94	-1	
6533207105	SMP	1	1265.33	344.10	1265.33	344.10	-1	
6533215475	SMP	1	1266.12	349.30	1266.12	349.30	-1	
6533223855	SMP	1	1276.19	348.99	1276.19	348.99	-1	
6533232091	SMP	1	1266.75	347.06	1266.75	347.06	-1	
6533240475	SMP	1	1292.10	345.89	1292.10	345.89	-1	
6533248790	SMP	1	1418.13	352.76	1418.13	352.76	-1	
6533257100	SMP	1	1429.75	351.80	1429.75	351.80	-1	
6533265455	SMP	1	1431.77	352.09	1431.77	352.09	-1	
6533273845	SMP	1	1437.72	352.84	1437.72	352.84	-1	
6533282216	SMP	1	1435.87	367.16	1435.87	367.16	-1	
6533290470	SMP	1	1437.60	377.76	1437.60	377.76	-1	
6533298794	SMP	1	1439.35	366.49	1439.35	366.49	-1	
6533307232	SMP	1	1438.38	363.12	1438.38	363.12	-1	
6533315553	SMP	1	1437.80	350.40	1437.80	350.40	-1	
6533323828	SMP	1	1438.50	365.41	1438.50	365.41	-1	
6533332190	SMP	1	1440.11	377.35	1440.11	377.35	-1	
6533340553	SMP	1	1440.59	373.66	1440.59	373.66	-1	
6533348918	SMP	1	1440.27	369.77	1440.27	369.77	-1	
6533357177	SMP	1	1440.86	370.27	1440.86	370.27	-1	
6533365541	SMP	1	1439.70	374.47	1439.70	374.47	-1	
6533373920	SMP	1	1436.81	379.67	1436.81	379.67	-1	
6533382177	SMP	1	1440.94	369.56	1440.94	369.56	-1	
6533390546	SMP	1	1442.98	376.73	1442.98	376.73	-1	
6533398916	SMP	1	1442.26	379.57	1442.26	379.57	-1	
6533407293	SMP	1	1442.52	379.40	1442.52	379.40	-1	
6533415540	SMP	1	1439.46	386.04	1439.46	386.04	-1	
6533423916	SMP	1	1437.91	386.89	1437.91	386.89	-1	
6533432288	SMP	1	1438.27	389.38	1438.27	389.38	-1	
6533440682	SMP	1	1434.03	389.52	1434.03	389.52	-1	
6533448913	SMP	1	1442.53	387.07	1442.53	387.07	-1	
6533457296	SMP	1	1440.58	387.96	1440.58	387.96	-1	
6533465669	SMP	1	1418.74	398.35	1418.74	398.35	-1	
6533474041	SMP	1	1239.07	512.74	1239.07	512.74	-1	
6533482294	SMP	1	1175.97	551.33	1175.97	551.33	-1	
6533490672	SMP	1	1176.27	602.73	1176.27	602.73	-1	
6533499036	SMP	1	1178.03	520.83	1178.03	520.83	-1	
6533507295	SMP	1	1172.49	532.94	1172.49	532.94	-1	
