## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\data\2013_07_17_168-eye_data.idf
## Date:	17.07.2013 22:18:34
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	24111                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_07_17_168                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
13770322670	SMP	1	340.28	740.82	340.28	740.82	-1	
13770331051	SMP	1	340.41	790.41	340.41	790.41	-1	
13770339278	SMP	1	345.34	774.78	345.34	774.78	-1	
13770347610	SMP	1	344.74	795.50	344.74	795.50	-1	
13770355982	SMP	1	344.33	807.69	344.33	807.69	-1	
13770364245	SMP	1	344.59	772.11	344.59	772.11	-1	
13770372585	SMP	1	348.95	758.67	348.95	758.67	-1	
13770380986	SMP	1	349.81	806.38	349.81	806.38	-1	
13770389351	SMP	1	351.66	766.41	351.66	766.41	-1	
13770397605	SMP	1	353.08	793.45	353.08	793.45	-1	
13770405979	SMP	1	353.20	819.54	353.20	819.54	-1	
13770414350	SMP	1	354.94	801.28	354.94	801.28	-1	
13770422714	SMP	1	355.88	794.51	355.88	794.51	-1	
13770430990	SMP	1	356.82	789.51	356.82	789.51	-1	
13770439343	SMP	1	359.19	787.59	359.19	787.59	-1	
13770447739	SMP	1	362.63	803.69	362.63	803.69	-1	
13770456130	SMP	1	363.30	813.52	363.30	813.52	-1	
13770464366	SMP	1	363.77	805.57	363.77	805.57	-1	
13770472733	SMP	1	364.01	808.42	364.01	808.42	-1	
13770481155	SMP	1	363.57	812.29	363.57	812.29	-1	
13770489517	SMP	1	365.14	812.56	365.14	812.56	-1	
13770497765	SMP	1	363.80	810.79	363.80	810.79	-1	
13770506143	SMP	1	364.66	815.81	364.66	815.81	-1	
13770514514	SMP	1	365.41	817.47	365.41	817.47	-1	
13770522770	SMP	1	367.08	814.15	367.08	814.15	-1	
13770531142	SMP	1	366.07	815.36	366.07	815.36	-1	
13770539510	SMP	1	372.67	703.08	372.67	703.08	-1	
13770547886	SMP	1	377.18	627.40	377.18	627.40	-1	
13770556136	SMP	1	363.57	630.99	363.57	630.99	-1	
13770564512	SMP	1	451.58	513.52	451.58	513.52	-1	
13770572884	SMP	1	386.15	519.75	386.15	519.75	-1	
13770581241	SMP	1	433.22	516.60	433.22	516.60	-1	
13770589471	SMP	1	408.60	514.47	408.60	514.47	-1	
