## [iView]
## Converted from:	C:\Users\Langcog Admin\Desktop\ATT_WORD\data\2013_07_17_157-eye_data.idf
## Date:	17.07.2013 19:08:12
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	27349                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	2013_07_17_157                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2349472297	SMP	1	0.00	0.00	0.00	0.00	-1	
2349522236	SMP	1	0.00	0.00	0.00	0.00	-1	
2349572298	SMP	1	0.00	0.00	0.00	0.00	-1	
2349622218	SMP	1	0.00	0.00	0.00	0.00	-1	
2349672287	SMP	1	0.00	0.00	0.00	0.00	-1	
2349722428	SMP	1	0.00	0.00	0.00	0.00	-1	
2349772356	SMP	1	0.00	0.00	0.00	0.00	-1	
2349822391	SMP	1	0.00	0.00	0.00	0.00	-1	
2349872556	SMP	1	0.00	0.00	0.00	0.00	-1	
2349922521	SMP	1	0.00	0.00	0.00	0.00	-1	
2349972577	SMP	1	0.00	0.00	0.00	0.00	-1	
2350022540	SMP	1	0.00	0.00	0.00	0.00	-1	
2350072527	SMP	1	0.00	0.00	0.00	0.00	-1	
2350122535	SMP	1	0.00	0.00	0.00	0.00	-1	
2350172655	SMP	1	0.00	0.00	0.00	0.00	-1	
2350222676	SMP	1	0.00	0.00	0.00	0.00	-1	
2350272679	SMP	1	0.00	0.00	0.00	0.00	-1	
2350322675	SMP	1	0.00	0.00	0.00	0.00	-1	
2350395616	SMP	1	599.69	652.26	599.69	652.26	-1	
2350403640	SMP	1	569.00	657.94	569.00	657.94	-1	
2350412017	SMP	1	561.78	656.79	561.78	656.79	-1	
2350420415	SMP	1	564.25	655.38	564.25	655.38	-1	
2350428813	SMP	1	561.47	652.81	561.47	652.81	-1	
2350437026	SMP	1	558.00	654.61	558.00	654.61	-1	
2350445385	SMP	1	554.14	651.32	554.14	651.32	-1	
2350453741	SMP	1	555.47	652.49	555.47	652.49	-1	
2350462139	SMP	1	552.01	650.23	552.01	650.23	-1	
2350470341	SMP	1	552.70	650.73	552.70	650.73	-1	
2350478809	SMP	1	549.96	649.28	549.96	649.28	-1	
2350487135	SMP	1	550.78	639.12	550.78	639.12	-1	
2350495362	SMP	1	545.76	642.66	545.76	642.66	-1	
2350503755	SMP	1	546.01	642.34	546.01	642.34	-1	
2350512139	SMP	1	544.35	636.19	544.35	636.19	-1	
2350520490	SMP	1	542.94	638.31	542.94	638.31	-1	
2350528772	SMP	1	542.43	636.47	542.43	636.47	-1	
2350537128	SMP	1	544.10	631.41	544.10	631.41	-1	
2350545499	SMP	1	542.99	631.33	542.99	631.33	-1	
2350553877	SMP	1	541.55	632.02	541.55	632.02	-1	
2350562162	SMP	1	539.72	630.79	539.72	630.79	-1	
2350570534	SMP	1	538.98	629.56	538.98	629.56	-1	
2350578912	SMP	1	539.06	629.61	539.06	629.61	-1	
2350946416	MSG	1	# Message: Elmos World The Sky Active.avi
2350954292	SMP	1	375.62	446.35	375.62	446.35	-1	
2350963015	SMP	1	373.66	446.53	373.66	446.53	-1	
2350970915	SMP	1	376.12	447.91	376.12	447.91	-1	
2350979283	SMP	1	376.21	452.22	376.21	452.22	-1	
2350987623	SMP	1	375.04	453.22	375.04	453.22	-1	
