trial_order,trial_type_id,trial_id
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,11,11
13,12,12
14,13,13
15,14,14
16,15,15
17,16,16
18,17,17
19,18,18
20,19,19
21,20,20
22,21,21
23,22,22
24,23,23
25,24,24
26,25,25
27,26,26
28,27,27
29,28,28
30,29,29
31,30,30
32,31,31
1,32,32
2,33,33
3,34,34
4,35,35
5,36,36
6,37,37
7,38,38
8,39,39
9,40,40
10,41,41
11,42,42
12,43,43
13,44,44
14,45,45
15,46,46
16,47,47
17,48,48
18,49,49
19,50,50
20,51,51
21,52,52
22,53,53
23,54,54
24,55,55
25,56,56
26,57,57
27,58,58
28,59,59
29,60,60
30,61,61
31,62,62
32,63,63
1,64,64
1,65,65
1,66,66
1,67,67
1,68,68
1,69,69
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
2,75,75
2,76,76
2,77,77
2,78,78
2,79,79
2,80,80
2,81,81
2,82,82
2,83,83
2,84,84
2,85,85
3,86,86
3,87,87
3,88,88
3,89,89
3,90,90
3,91,91
4,92,92
4,93,93
4,94,94
4,95,95
4,96,96
4,97,97
3,98,98
3,99,99
3,100,100
3,101,101
3,102,102
4,103,103
4,104,104
4,105,105
4,106,106
5,107,107
5,108,108
5,109,109
5,110,110
4,111,111
5,112,112
5,113,113
5,114,114
5,115,115
5,116,116
5,117,117
5,118,118
6,119,119
6,120,120
6,121,121
6,122,122
6,123,123
6,124,124
7,125,125
7,126,126
7,127,127
7,128,128
6,129,129
7,130,130
6,131,131
6,132,132
6,133,133
6,134,134
7,135,135
7,136,136
7,137,137
7,138,138
7,139,139
8,140,140
8,141,141
8,142,142
8,143,143
8,144,144
8,145,145
7,146,146
8,147,147
8,148,148
8,149,149
8,150,150
8,151,151
1,152,152
1,153,153
1,154,154
1,155,155
1,156,156
1,157,157
1,158,158
1,159,159
1,160,160
1,161,161
1,162,162
2,163,163
2,164,164
2,165,165
2,166,166
2,167,167
2,168,168
2,169,169
2,170,170
2,171,171
2,172,172
2,173,173
3,174,174
3,175,175
3,176,176
3,177,177
3,178,178
3,179,179
4,180,180
4,181,181
4,182,182
4,183,183
4,184,184
4,185,185
3,186,186
3,187,187
3,188,188
3,189,189
3,190,190
4,191,191
4,192,192
4,193,193
4,194,194
5,195,195
5,196,196
5,197,197
5,198,198
4,199,199
5,200,200
5,201,201
5,202,202
5,203,203
5,204,204
5,205,205
5,206,206
6,207,207
6,208,208
6,209,209
6,210,210
6,211,211
6,212,212
7,213,213
7,214,214
7,215,215
7,216,216
6,217,217
7,218,218
6,219,219
6,220,220
6,221,221
6,222,222
7,223,223
7,224,224
7,225,225
7,226,226
7,227,227
8,228,228
8,229,229
8,230,230
8,231,231
8,232,232
8,233,233
7,234,234
8,235,235
8,236,236
8,237,237
8,238,238
8,239,239
1,240,240
2,241,241
3,242,242
4,243,243
5,244,244
6,245,245
7,246,246
8,247,247
9,248,248
10,249,249
11,250,250
12,251,251
13,252,252
14,253,253
15,254,254
16,255,255
17,256,256
18,257,257
19,258,258
20,259,259
21,260,260
22,261,261
23,262,262
24,263,263
25,264,264
26,265,265
27,266,266
28,267,267
29,268,268
30,269,269
31,270,270
32,271,271
1,272,272
2,273,273
3,274,274
4,275,275
5,276,276
6,277,277
7,278,278
8,279,279
9,280,280
10,281,281
11,282,282
12,283,283
13,284,284
14,285,285
15,286,286
16,287,287
17,288,288
18,289,289
19,290,290
20,291,291
21,292,292
22,293,293
23,294,294
24,295,295
25,296,296
26,297,297
27,298,298
28,299,299
29,300,300
30,301,301
31,302,302
32,303,303
