target_side,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,condition
right,22,28,NA,150,0,TLOTL2-24-1-42,NA,0,eng,
left,13,17,NA,151,0,TLOTL2-24-1-43,NA,0,eng,
right,0,24,NA,152,0,TLOTL2-24-2-2,NA,0,eng,
right,8,11,NA,153,0,TLOTL2-24-2-3,NA,0,eng,
right,8,12,NA,154,0,TLOTL2-24-2-3,NA,0,eng,
right,23,11,NA,155,0,TLOTL2-24-2-3,NA,0,eng,
right,23,12,NA,156,0,TLOTL2-24-2-3,NA,0,eng,
left,9,10,NA,157,0,TLOTL2-24-2-4,NA,0,eng,
left,10,9,NA,158,0,TLOTL2-24-2-5,NA,0,eng,
right,11,16,NA,159,0,TLOTL2-24-2-6,NA,0,eng,
right,11,29,NA,160,0,TLOTL2-24-2-6,NA,0,eng,
right,12,16,NA,161,0,TLOTL2-24-2-6,NA,0,eng,
right,12,29,NA,162,0,TLOTL2-24-2-6,NA,0,eng,
left,13,17,NA,163,0,TLOTL2-24-2-7,NA,0,eng,
left,14,21,NA,164,0,TLOTL2-24-2-8,NA,0,eng,
left,14,22,NA,165,0,TLOTL2-24-2-8,NA,0,eng,
left,15,21,NA,166,0,TLOTL2-24-2-8,NA,0,eng,
left,15,22,NA,167,0,TLOTL2-24-2-8,NA,0,eng,
right,7,20,NA,168,0,TLOTL2-24-2-9,NA,0,eng,
left,16,25,NA,169,0,TLOTL2-24-2-10,NA,0,eng,
left,16,26,NA,170,0,TLOTL2-24-2-10,NA,0,eng,
left,29,25,NA,171,0,TLOTL2-24-2-10,NA,0,eng,
left,29,26,NA,172,0,TLOTL2-24-2-10,NA,0,eng,
right,17,13,NA,173,0,TLOTL2-24-2-11,NA,0,eng,
left,14,18,NA,174,0,TLOTL2-24-2-12,NA,0,eng,
left,14,19,NA,175,0,TLOTL2-24-2-12,NA,0,eng,
left,15,18,NA,176,0,TLOTL2-24-2-12,NA,0,eng,
left,15,19,NA,177,0,TLOTL2-24-2-12,NA,0,eng,
