trial_id,trial_order,trial_type_id,trial_aux_data,excluded,exclusion_reason
6,1,0,NA,FALSE,NA
19,2,1,NA,FALSE,NA
32,3,2,NA,FALSE,NA
45,4,3,NA,FALSE,NA
58,5,4,NA,FALSE,NA
71,6,5,NA,FALSE,NA
84,8,6,NA,FALSE,NA
97,9,7,NA,FALSE,NA
110,10,8,NA,FALSE,NA
123,11,9,NA,FALSE,NA
136,12,10,NA,FALSE,NA
149,13,11,NA,FALSE,NA
162,15,4,NA,FALSE,NA
175,16,12,NA,FALSE,NA
188,17,13,NA,FALSE,NA
201,18,6,NA,FALSE,NA
214,19,14,NA,FALSE,NA
227,20,15,NA,FALSE,NA
240,22,16,NA,FALSE,NA
253,23,17,NA,FALSE,NA
266,24,18,NA,FALSE,NA
279,25,19,NA,FALSE,NA
292,26,20,NA,FALSE,NA
305,27,21,NA,FALSE,NA
317,29,22,NA,FALSE,NA
329,30,14,NA,FALSE,NA
340,31,9,NA,FALSE,NA
351,32,15,NA,FALSE,NA
361,33,16,NA,FALSE,NA
371,34,7,NA,FALSE,NA
381,36,23,NA,FALSE,NA
390,37,10,NA,FALSE,NA
400,38,0,NA,FALSE,NA
410,39,1,NA,FALSE,NA
420,40,8,NA,FALSE,NA
430,41,11,NA,FALSE,NA
7,1,0,NA,FALSE,NA
20,2,1,NA,FALSE,NA
33,3,2,NA,FALSE,NA
46,4,3,NA,FALSE,NA
59,5,4,NA,FALSE,NA
72,6,5,NA,FALSE,NA
85,8,6,NA,FALSE,NA
98,9,7,NA,FALSE,NA
111,10,8,NA,FALSE,NA
124,11,9,NA,FALSE,NA
137,12,10,NA,FALSE,NA
150,13,11,NA,FALSE,NA
163,15,4,NA,FALSE,NA
176,16,12,NA,FALSE,NA
189,17,13,NA,FALSE,NA
202,18,6,NA,FALSE,NA
215,19,14,NA,FALSE,NA
228,20,15,NA,FALSE,NA
241,22,16,NA,FALSE,NA
254,23,17,NA,FALSE,NA
267,24,18,NA,FALSE,NA
280,25,19,NA,FALSE,NA
293,26,20,NA,FALSE,NA
306,27,21,NA,FALSE,NA
318,29,22,NA,FALSE,NA
330,30,14,NA,FALSE,NA
341,31,9,NA,FALSE,NA
352,32,15,NA,FALSE,NA
362,33,16,NA,FALSE,NA
372,34,7,NA,FALSE,NA
391,37,10,NA,FALSE,NA
401,38,0,NA,FALSE,NA
411,39,1,NA,FALSE,NA
421,40,8,NA,FALSE,NA
431,41,11,NA,FALSE,NA
8,1,0,NA,FALSE,NA
21,2,1,NA,FALSE,NA
34,3,2,NA,FALSE,NA
47,4,3,NA,FALSE,NA
60,5,4,NA,FALSE,NA
73,6,5,NA,FALSE,NA
86,8,6,NA,FALSE,NA
99,9,7,NA,FALSE,NA
112,10,8,NA,FALSE,NA
125,11,9,NA,FALSE,NA
138,12,10,NA,FALSE,NA
151,13,11,NA,FALSE,NA
164,15,4,NA,FALSE,NA
177,16,12,NA,FALSE,NA
190,17,13,NA,FALSE,NA
