lab_stimulus_id,carrier_phrase
belt,Look at the
bib,Look at the
comb,Look at the
crib,Where's the
flag,Where's the
glove,Look at the
hammer,Find the
ladder,Where's the
lamp,Look at the
purse,Where's the
puzzle,Find the
slide,Where's the
slipper,Look at the
sock,Where's the
tape,Find the
zipper,Find the
