target_side,dataset_id,trial_id,lab_trial_id,full_phrase,aoi_region_set_id,point_of_disambiguation,full_phrase_language
R,0,85,SwitchingCues-NC2A-7,NA,NA,0,eng
L,0,86,SwitchingCues-NC2A-8,NA,NA,0,eng
R,0,87,SwitchingCues-NC2A-9,NA,NA,0,eng
L,0,88,SwitchingCues-NC2A-10,NA,NA,0,eng
R,0,89,SwitchingCues-NC2A-11,NA,NA,0,eng
R,0,90,SwitchingCues-NC2A-12,NA,NA,0,eng
L,0,91,SwitchingCues-NC2A-13,NA,NA,0,eng
L,0,92,SwitchingCues-NC2A-14,NA,NA,0,eng
R,0,93,SwitchingCues-NC2A-15,NA,NA,0,eng
L,0,94,SwitchingCues-NC2A-16,NA,NA,0,eng
R,0,95,SwitchingCues-NC2A-17,NA,NA,0,eng
R,0,96,SwitchingCues-CN2B-2,NA,NA,0,eng
R,0,97,SwitchingCues-CN2B-3,NA,NA,0,eng
L,0,98,SwitchingCues-CN2B-4,NA,NA,0,eng
L,0,99,SwitchingCues-CN2B-5,NA,NA,0,eng
R,0,100,SwitchingCues-CN2B-6,NA,NA,0,eng
L,0,101,SwitchingCues-CN2B-7,NA,NA,0,eng
R,0,102,SwitchingCues-CN2B-8,NA,NA,0,eng
L,0,103,SwitchingCues-CN2B-9,NA,NA,0,eng
R,0,104,SwitchingCues-CN2B-10,NA,NA,0,eng
L,0,105,SwitchingCues-CN2B-11,NA,NA,0,eng
L,0,106,SwitchingCues-CN2B-12,NA,NA,0,eng
R,0,107,SwitchingCues-CN2B-13,NA,NA,0,eng
R,0,108,SwitchingCues-CN2B-14,NA,NA,0,eng
L,0,109,SwitchingCues-CN2B-15,NA,NA,0,eng
R,0,110,SwitchingCues-CN2B-16,NA,NA,0,eng
L,0,111,SwitchingCues-CN2B-17,NA,NA,0,eng
R,0,112,SwitchingCues-NC2B-2,NA,NA,0,eng
R,0,113,SwitchingCues-NC2B-3,NA,NA,0,eng
L,0,114,SwitchingCues-NC2B-4,NA,NA,0,eng
L,0,115,SwitchingCues-NC2B-5,NA,NA,0,eng
R,0,116,SwitchingCues-NC2B-6,NA,NA,0,eng
L,0,117,SwitchingCues-NC2B-7,NA,NA,0,eng
R,0,118,SwitchingCues-NC2B-8,NA,NA,0,eng
L,0,119,SwitchingCues-NC2B-9,NA,NA,0,eng
R,0,120,SwitchingCues-NC2B-10,NA,NA,0,eng
L,0,121,SwitchingCues-NC2B-11,NA,NA,0,eng
L,0,122,SwitchingCues-NC2B-12,NA,NA,0,eng
R,0,123,SwitchingCues-NC2B-13,NA,NA,0,eng
R,0,124,SwitchingCues-NC2B-14,NA,NA,0,eng
L,0,125,SwitchingCues-NC2B-15,NA,NA,0,eng
R,0,126,SwitchingCues-NC2B-16,NA,NA,0,eng
L,0,127,SwitchingCues-NC2B-17,NA,NA,0,eng
L,0,128,SwitchingCues-CN3A-2,NA,NA,0,eng
R,0,129,SwitchingCues-CN3A-3,NA,NA,0,eng
L,0,130,SwitchingCues-CN3A-4,NA,NA,0,eng
R,0,131,SwitchingCues-CN3A-5,NA,NA,0,eng
R,0,132,SwitchingCues-CN3A-6,NA,NA,0,eng
L,0,133,SwitchingCues-CN3A-7,NA,NA,0,eng
